Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
08/08/2022,912,1,46,109,192,138,126,120,114,68,45,0,502,405,5,240,58,242,200,37,135,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4,3,7,3,5,4,11,9,0,22,24,0,7,0,26,11,2,0
01/05/2021,1603,16,77,170,470,299,242,184,135,65,37,1,813,788,2,604,59,277,445,56,162,0,0,0,1,2,3,6,4,0,3,13,0,5,1,5,5,0,0,0,5,4,5,10,19,19,15,0,39,38,0,18,4,29,24,2,0
01/29/2022,583,17,50,136,99,118,79,49,59,28,15,0,295,286,2,139,41,92,180,28,103,0,0,0,0,2,4,6,5,0,6,11,0,2,1,9,5,0,0,1,3,9,6,9,9,7,6,0,25,25,0,13,1,25,8,3,0
04/16/2020,677,31,151,8,118,113,119,121,94,63,41,0,320,357,0,266,19,222,104,19,47,0,0,0,2,3,6,8,12,0,14,17,0,5,3,16,7,0,0,0,5,10,14,33,33,32,24,0,57,94,0,49,2,70,22,7,1
07/05/2022,1119,0,42,125,224,252,182,148,108,53,27,0,618,497,4,250,99,263,260,52,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,6,10,7,11,0,20,22,0,4,1,23,14,0,0
06/11/2021,39,2,11,6,12,6,6,2,3,3,1,0,18,21,0,14,2,11,8,0,4,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,0,1,0,2,0,1,5,1,1,0,5,6,0,2,0,7,1,0,1
05/25/2021,128,3,16,15,30,24,20,18,14,5,2,0,81,47,0,29,4,61,22,2,10,0,0,0,0,1,1,0,1,0,1,2,0,0,0,2,1,0,0,0,1,2,1,5,2,2,3,0,8,8,0,0,1,11,4,0,0
09/06/2022,795,1,40,171,129,127,115,117,54,54,27,1,449,338,8,213,53,182,197,43,107,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,3,3,4,7,9,7,6,0,20,20,0,8,1,20,11,0,0
04/21/2020,873,36,171,20,147,164,160,153,109,56,64,0,438,435,0,418,13,222,134,29,57,0,1,0,3,0,7,11,14,0,14,22,0,12,2,18,4,0,0,1,5,10,16,33,37,35,34,0,73,98,0,56,4,72,29,8,2
11/19/2022,280,0,31,39,42,54,39,42,31,19,14,0,163,116,1,79,14,71,67,11,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,1,5,7,2,8,0,14,17,0,8,2,11,10,0,0
05/27/2020,614,26,65,70,124,101,116,83,66,32,22,0,317,289,8,329,14,121,56,20,74,0,0,2,1,1,7,7,8,0,10,16,0,10,1,10,5,0,0,0,4,6,11,12,12,12,8,0,29,36,0,25,1,20,16,2,1
09/19/2021,245,2,26,55,50,56,34,24,16,2,8,0,128,116,1,49,17,61,73,21,24,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,2,3,1,4,4,5,2,5,0,12,14,0,4,1,13,5,1,2
10/18/2022,391,1,32,83,56,42,46,53,58,33,19,1,219,169,3,79,27,121,100,18,46,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,4,4,3,6,6,6,0,15,17,0,3,1,15,11,2,0
07/27/2021,301,1,15,38,85,83,43,28,12,7,5,0,161,140,0,66,5,90,91,7,42,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,4,0,4,3,0,1,0,8,7,0,2,0,9,3,1,0
01/28/2022,748,23,50,166,146,142,88,72,67,49,18,0,381,366,1,184,64,115,217,31,137,0,0,0,2,3,5,3,10,0,12,11,0,5,1,11,6,0,0,0,8,4,3,3,11,11,10,0,27,23,0,15,1,14,18,2,0
01/27/2021,657,14,41,75,146,131,102,92,61,33,17,0,337,320,0,200,31,149,173,31,73,0,0,0,0,0,3,4,7,0,4,10,0,2,1,8,3,0,0,0,2,4,4,7,6,13,5,0,24,17,0,12,1,12,14,2,0
03/03/2021,336,5,15,46,90,72,56,29,25,14,4,0,160,176,0,85,21,73,101,30,26,0,0,0,0,0,1,1,3,0,3,2,0,0,1,3,1,0,0,1,1,1,0,2,3,5,2,0,10,5,0,2,0,8,5,0,0
08/25/2022,574,1,42,99,107,98,69,86,55,27,33,0,333,238,3,141,24,169,119,36,85,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,5,2,5,14,5,9,0,17,25,0,8,1,20,12,0,1
12/04/2020,1856,32,100,240,409,341,306,272,158,85,45,0,939,912,5,705,70,340,417,73,251,0,0,1,1,4,4,7,15,0,14,18,0,16,1,6,9,0,0,4,6,14,11,18,19,16,12,0,48,52,0,30,4,44,17,3,2
06/23/2021,47,0,3,7,10,11,9,6,2,0,2,0,28,19,0,11,1,17,10,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,1,0,2,0,1,0,0,0
